OSE Building ID,Data Year,Building Name,Building Type,Address,City,State,Zip Code,Latitude,Longitude,Neighborhood,Council District Code,Year Built,Numberof Floors,Property GFA Total,PropertyGFABuilding(s),Property GFA Parking,Primary Property Type,ENERGYSTAR Score,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),Largest Property Use Type,Largest Property Use Type GFA,Second Largest Property Use Type,Second Largest Property Use Type GFA,Third Largest Property Use Type,Third Largest Property Use Type GFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),EPA Building Sub Type Name,Compliance Issue,Compliance Status,Electricity(kBtu),NaturalGas(kBtu),GHG Emissions Intensity,Total Ghg Emissions
25475,2018,VARSITY COURT APTS,Multifamily LR (1-4),2316 NE 65TH ST,SEATTLE,WA,98115,47.67598,-122.30201,NORTHEAST,4,2005,4,30918,19807,11111,Multifamily Housing,67,37.400001526,36.700000763,739804,727258,104.599998474,102.800003052,Multifamily Housing,17322,Parking,11111,Restaurant,2485,213147,0,0,Multifamily Housing,No Issue,Compliant,727258,0,0.1,1.9
25491,2018,SAXE APTS,Multifamily LR (1-4),2402 NE 65TH ST,SEATTLE,WA,98115,47.67604,-122.30141,NORTHEAST,4,2005,4,46137,33869,12268,Multifamily Housing,18,57.599998474,57.200000763,2238802,2222308,115.400001526,114.199996948,Multifamily Housing,35657,Parking,11503,Restaurant,3225,352987,0,10179,Multifamily Housing,No Issue,Compliant,1204392,1017916,1.7,57.3
24492,2018,RONALD MCDONALD HOUSE A,Multifamily LR (1-4),5130 40TH AVE NE,SEATTLE,WA,98105,47.66703,-122.28421,NORTHEAST,4,2004,2,73697,46480,27217,Multifamily Housing,2,47.799999237,47.400001526,3534093,3506344,106.300003052,106.5,Multifamily Housing,73967,,,,,702689,0,11088,Multifamily Housing,No Issue,Compliant,2397574,1108770,1.4,65.3
49939,2018,PHYLLIS GUTIERREZ KENNEY PLACE,Multifamily LR (1-4),6800 62ND AVE NE,SEATTLE,WA,98115,47.6779,-122.26166,NORTHEAST,4,2013,2,31928,31928,0,Multifamily Housing,41,36.200000763,35.200000763,1154270,1125249,101.199996948,98.699996948,Multifamily Housing,31928,,,,,329792,0,0,Multifamily Housing,No Issue,Compliant,1125249,0,0.1,3
24077,2018,MAPLE LEAF VILLA,Multifamily LR (1-4),9400 ROOSEVELT WAY NE,SEATTLE,WA,98115,47.69694,-122.31729,NORTH,5,1993,4,26390,18530,7860,Multifamily Housing,,62.700000763,62.700000763,909664,909664,175.600006104,175.600006104,Multifamily Housing,14502,,,,,266607,0,0,Multifamily Housing,No Issue,Compliant,909664,0,0.1,2.4
28007,2018,ADWAS,Multifamily LR (1-4),8623 ROOSEVELT WAY NE,SEATTLE,WA,98115,47.69209,-122.31794,NORTH,5,2006,4,29588,29588,0,Multifamily Housing,,45,44.299999237,1349434,1329394,92.400001526,91.699996948,Multifamily Housing,21000,Office,9000,,,227190,0,5542,Multifamily Housing,No Issue,Compliant,775171,554223,1.1,31.5
24173,2018,NORTHGATE VIEW APTS,Multifamily LR (1-4),9818 5TH AVE NE,SEATTLE,WA,98115,47.70093,-122.32275,NORTH,5,1990,4,27344,21616,5728,Multifamily Housing,,38.5,37.5,832616,810642,107.900001526,105,Multifamily Housing,21616,Parking,5728,,,237586,0,0,Multifamily Housing,No Issue,Compliant,810642,0,0.1,2.2
26240,2018,NORTHGATE PLAZA CONDOMINIUM,Multifamily LR (1-4),9416 1ST AVE NE,SEATTLE,WA,98115,47.6975,-122.32761,NORTH,5,1979,4,99893,99893,0,Multifamily Housing,82,38.799999237,37.5,3875836,3741892,75.699996948,73.699996948,Multifamily Housing,99893,Parking,18720,Swimming Pool,0,574312,0,17823,Multifamily Housing,No Issue,Compliant,1959552,1782340,1,99.9
22805,2018,PARK MEADOW APTS,Multifamily LR (1-4),10550 LAKE CITY WAY NE,SEATTLE,WA,98125,47.70647,-122.30126,NORTH,5,1990,3,28392,17006,11386,Multifamily Housing,,40.799999237,40.200000763,1109248,1093483,114.199996948,112.599998474,Multifamily Housing,21642,Parking,11386,Retail Store,5550,320482,0,0,Multifamily Housing,No Issue,Compliant,1093483,0,0.2,2.9
24179,2018,NORTHBROOK PLACE,Multifamily LR (1-4),10215 LAKE CITY WAY NE,SEATTLE,WA,98125,47.7026,-122.30211,NORTH,5,1991,4,63670,63670,0,Multifamily Housing,28,38.599998474,38.099998474,2456612,2424431,108,106.599998474,Multifamily Housing,63670,,,,,710560,0,0,Multifamily Housing,No Issue,Compliant,2424431,0,0.1,6.5
23495,2018,"SHERWOOD APTS BLDG B, C, D,  E",Multifamily LR (1-4),3101 NE 145TH ST,SEATTLE,WA,98155,47.73357,-122.29501,NORTH,5,1975,3,72671,72671,0,Multifamily Housing,59,36.799999237,35.799999237,2165484,2105850,100,97.199996948,Multifamily Housing,58831,Parking,2112,,,587469,0,1014,Multifamily Housing,No Issue,Compliant,2004444,101406,0.1,10.7
22939,2018,NORTHGATE APTS,Multifamily LR (1-4),11060 2ND AVE NE,SEATTLE,WA,98125,47.7099,-122.32705,SHARED: NORTH &amp; NORTHWEST,5,1951,2,143498,143498,0,Multifamily Housing,97,59.099998474,55.099998474,8480143,7900759,66.300003052,62.099998474,Multifamily Housing,143498,,,,,102224,0,75520,Multifamily Housing,No Issue,Compliant,348788,7551971,2.8,402
28874,2018,CEDARVALE VILLAGE,Multifamily LR (1-4),11222 8TH AVE NE,SEATTLE,WA,98125,47.71025,-122.3202,SHARED: NORTH &amp; NORTHWEST,5,1970,2,30984,30984,0,Multifamily Housing,73,39.099998474,37.599998474,1210951,1163926,109.400001526,105.199996948,Multifamily Housing,30984,,,,,341127,0,0,Multifamily Housing,No Issue,Compliant,1163926,0,0.1,3.1
21202,2018,TRI-COURT,Multifamily LR (1-4),718 N 143RD ST,SEATTLE,WA,98133,47.73269,-122.34952,NORTHWEST,5,1970,3,57247,57247,0,Multifamily Housing,38,52.099998474,51.599998474,2985066,2951294,118.199996948,116.699996948,Multifamily Housing,57247,,,,,599511,0,9058,Multifamily Housing,No Issue,Compliant,2045531,905763,0.9,53.6
21215,2018,NORTHLINE APTS,Multifamily LR (1-4),14359 LINDEN AVE N,SEATTLE,WA,98133,47.73375,-122.34851,NORTHWEST,5,1978,3,89068,89068,0,Multifamily Housing,44,42.099998474,41.5,3119030,3076718,117.800003052,116.199996948,Multifamily Housing,74125,Parking,6325,,,901734,0,0,Multifamily Housing,No Issue,Compliant,3076718,0,0.1,8.2
23074,2018,AKI KUROSE VILLAGE,Multifamily LR (1-4),11500 STONE AVE N,SEATTLE,WA,98133,47.71244,-122.34181,NORTHWEST,5,1999,3,29810,29810,0,Multifamily Housing,,57.5,57,2147612,2127602,161.100006104,159.600006104,Multifamily Housing,37296,Office,40,Parking,0,623564,0,0,Multifamily Housing,No Issue,Compliant,2127602,0,0.2,5.7
25247,2018,VICTORIAN THE CONDOMINIUM,Multifamily LR (1-4),2152 N 112TH ST,SEATTLE,WA,98133,47.7101,-122.33174,NORTHWEST,5,1988,4,44352,44352,0,Multifamily Housing,65,50.099998474,49.599998474,2222700,2198452,93.199996948,92.400001526,Multifamily Housing,44352,,,,,300038,0,11747,Multifamily Housing,No Issue,Compliant,1023730,1174722,1.5,65.1
23761,2018,SKANDIA WEST CONDOMINIUM,Multifamily LR (1-4),6300 32ND AVE NW,SEATTLE,WA,98107,47.67472,-122.39807,BALLARD,6,1997,3,29378,29378,0,Multifamily Housing,44,37.900001526,37,932108,909030,84.5,82.900001526,Multifamily Housing,24589,,,,,181377,0,2902,Multifamily Housing,No Issue,Compliant,618859,290171,0.6,17.1
24542,2018,POINT SHILSHOLE CONDOMINIUM,Multifamily LR (1-4),6301 SEAVIEW AVE NW,SEATTLE,WA,98107,47.6744,-122.40735,BALLARD,6,1982,4,37642,37642,0,Multifamily Housing,37,62.200000763,59.200000763,2176476,2071399,97.699996948,94,Multifamily Housing,35000,,,,,186544,0,14349,Multifamily Housing,No Issue,Compliant,636489,1434910,2.1,77.9
22315,2018,BALLARD 57,Multifamily LR (1-4),1731 NW 57TH ST,SEATTLE,WA,98107,47.66992,-122.38033,BALLARD,6,2016,6,23349,23349,0,Multifamily Housing,99,40.5,40,944524,934161,79.5,79,Multifamily Housing,23349,,,,,144801,0,4401,Multifamily Housing,No Issue,Compliant,494060,440101,1.1,24.7
26423,2018,FREMONT PLACE,Multifamily LR (1-4),4601 PHINNEY AVE N,SEATTLE,WA,98103,47.66238,-122.35436,SHARED: LAKE UNION &amp; NORTHWEST,6,1983,4,25721,25721,0,Multifamily Housing,31,39.799999237,38.900001526,973293,950831,111.5,108.900001526,Multifamily Housing,24451,Parking,1284,,,278673,0,0,Multifamily Housing,No Issue,Compliant,950831,0,0.1,2.5
26820,2018,KEYSTONE PLACE APTS,Multifamily LR (1-4),5410 KEYSTONE PL N,SEATTLE,WA,98103,47.66858,-122.33248,SHARED: LAKE UNION &amp; NORTHWEST,6,1968,4,21880,21880,0,Multifamily Housing,,35.700000763,35.700000763,780116,780116,99.800003052,99.800003052,Multifamily Housing,16567,Supermarket/Grocery Store,3844,Medical Office,1469,228639,0,0,Multifamily Housing,No Issue,Compliant,780116,0,0.1,2.1
24037,2018,SEATTLE HOUSING AUTHORITY APTS,Multifamily LR (1-4),6341 5TH AVE NE,SEATTLE,WA,98115,47.67561,-122.324,SHARED: LAKE UNION &amp; NORTHWEST,6,1983,4,35577,28567,7010,Multifamily Housing,33,44,44,1257991,1257991,123.300003052,123.300003052,Multifamily Housing,28567,Parking,7010,,,368696,0,0,Multifamily Housing,No Issue,Compliant,1257991,0,0.1,3.4
26152,2018,GREEN LAKE MANOR,Multifamily LR (1-4),1340 N 79TH ST,SEATTLE,WA,98103,47.6864,-122.33985,NORTHWEST,6,1947,3,24920,24920,0,Multifamily Housing,73,62.299999237,59.299999237,1552273,1477547,78.5,75.300003052,Multifamily Housing,24920,,,,,54569,0,12914,Multifamily Housing,No Issue,Compliant,186188,1291359,2.8,69.1
26434,2018,APARTMENTS,Multifamily LR (1-4),5705 PHINNEY AVE N,SEATTLE,WA,98103,47.67074,-122.35491,NORTHWEST,6,1930,3,32810,27176,5634,Multifamily Housing,56,83.300003052,80,2265082,2175028,101.199996948,97.699996948,Multifamily Housing,27176,Parking,5634,,,62211,0,19628,Multifamily Housing,No Issue,Compliant,212264,1962764,3.9,104.8
26691,2018,OLMSTED MANOR (SHA),Multifamily LR (1-4),501 NE RAVENNA BLVD,SEATTLE,WA,98115,47.67723,-122.32391,NORTHWEST,6,1986,4,31023,31023,0,Multifamily Housing,27,37.400001526,36.599998474,1161480,1136509,104.800003052,102.599998474,Multifamily Housing,31023,,,,,333092,0,0,Multifamily Housing,No Issue,Compliant,1136509,0,0.1,3
24650,2018,BRATTAIN BUILDING,Multifamily LR (1-4),8501 GREENWOOD AVE N,SEATTLE,WA,98103,47.69072,-122.35552,NORTHWEST,6,1929,2,38050,38050,0,Mixed Use Property,,100.199996948,100.199996948,3811220,3811220,201.199996948,201.199996948,Restaurant,12996,Multifamily Housing,11196,Self-Storage Facility,8084,611808,0,17237,Mixed Use Property,No Issue,Compliant,2087488,1723732,2.6,97.1
21326,2018,GLEN HOTEL APARTMENTS,Multifamily LR (1-4),1413 3RD AVE,SEATTLE,WA,98101,47.60906,-122.33757,DOWNTOWN,7,1907,3,27250,27250,0,Multifamily Housing,69,39.599998474,38.200000763,1186526,1145543,81.199996948,78.699996948,Multifamily Housing,30000,,,,,194095,0,4833,Multifamily Housing,No Issue,Compliant,662254,483290,1,27.4
23579,2018,HALLMARK APTS,Multifamily LR (1-4),705 2ND AVE,SEATTLE,WA,98104,47.60304,-122.33362,DOWNTOWN,7,1946,3,22972,22972,0,Multifamily Housing,58,63.599998474,59.900001526,1460168,1376527,80.599998474,76.800003052,Multifamily Housing,22972,,,,,53482,0,11940,Multifamily Housing,No Issue,Compliant,182482,1194045,2.8,63.9
26717,2018,UNION HOTEL APARTMENTS,Multifamily LR (1-4),200 3RD AVE S,SEATTLE,WA,98104,47.60071,-122.32989,DOWNTOWN,7,1905,4,25027,25027,0,Multifamily Housing,32,55.299999237,53.900001526,2387872,2327499,102,100.199996948,Multifamily Housing,43200,,,,,315537,0,12509,Multifamily Housing,No Issue,Compliant,1076613,1250886,2.8,69.3
27039,2018,UPTOWN CONDO,Multifamily LR (1-4),520 2ND AVE,SEATTLE,WA,98104,47.60201,-122.33225,DOWNTOWN,7,1992,4,35655,35655,0,Multifamily Housing,57,44,42.900001526,1314374,1283399,95.699996948,93.599998474,Multifamily Housing,24389,Retail Store,5516,,,242881,0,4547,Multifamily Housing,No Issue,Compliant,828709,454690,0.7,26.4
21507,2018,LEWISTON APARTMENTS,Multifamily LR (1-4),2201 1ST AVE,SEATTLE,WA,98121,47.61252,-122.34565,DOWNTOWN,7,1900,3,27140,27140,0,Multifamily Housing,,73.900001526,73.900001526,1977784,1977784,120.5,120.5,Multifamily Housing,14269,Food Service,12511,,,192848,0,13198,Multifamily Housing,No Issue,Compliant,657996,1319788,2.6,71.9
21331,2018,OXFORD CREST APT,Multifamily LR (1-4),1400 BOREN AVE,SEATTLE,WA,98101,47.61266,-122.328,EAST,7,1925,4,63681,55671,8010,Multifamily Housing,,38.400001526,37.5,2137600,2085800,74.699996948,72.699996948,Multifamily Housing,55671,Parking,8010,,,311061,0,10245,Multifamily Housing,No Issue,Compliant,1061341,1024459,1,57.2
21732,2018,CARLTON APT,Multifamily LR (1-4),603 PONTIUS AVE N,SEATTLE,WA,98109,47.62442,-122.33209,LAKE UNION,7,1926,3,23837,23837,0,Multifamily Housing,78,36.200000763,35,863821,833896,81.300003052,78.199996948,Multifamily Housing,23837,,,,,165406,0,2695,Multifamily Housing,No Issue,Compliant,564364,269532,0.7,15.8
20724,2018,THE PARK ON HIGHLAND DRIVE,Multifamily LR (1-4),1205 QUEEN ANNE AVE N,SEATTLE,WA,98109,47.62982,-122.35706,MAGNOLIA / QUEEN ANNE,7,1948,3,26044,26044,0,Multifamily Housing,75,42.299999237,41.299999237,1101893,1076563,79.900001526,77.800003052,Multifamily Housing,26044,,,,,149869,0,5652,Multifamily Housing,No Issue,Compliant,511353,565210,1.2,31.4
21299,2018,THE STRATHMORE,Multifamily LR (1-4),7 HARRISON ST,SEATTLE,WA,98109,47.62194,-122.35646,MAGNOLIA / QUEEN ANNE,7,1908,3,25800,25800,0,Multifamily Housing,88,37.700000763,37.099998474,972677,956543,73.5,71.699996948,Multifamily Housing,25800,,,,,141814,0,4727,Multifamily Housing,No Issue,Compliant,483868,472675,1,26.4
21300,2018,THE UPTOWNER APARTMENTS,Multifamily LR (1-4),229 1ST AVE N,SEATTLE,WA,98109,47.6206,-122.35581,MAGNOLIA / QUEEN ANNE,7,1908,3,20712,20712,0,Multifamily Housing,92,44.5,43,922670,891000,60.900001526,59.299999237,Multifamily Housing,20712,,,,,48960,0,7239,Multifamily Housing,No Issue,Compliant,167053,723948,1.9,38.9
21690,2018,THE AVALON APTS,Multifamily LR (1-4),22 JOHN ST,SEATTLE,WA,98109,47.61989,-122.35603,MAGNOLIA / QUEEN ANNE,7,1908,3,26250,26250,0,Multifamily Housing,93,46.5,43.799999237,1220318,1148614,65.699996948,62.799999237,Multifamily Housing,26250,,,,,74283,0,8952,Multifamily Housing,No Issue,Compliant,253454,895160,1.8,48.2
23450,2018,MONTANITA APTS,Multifamily LR (1-4),1012 QUEEN ANNE AVE N,SEATTLE,WA,98109,47.62847,-122.35645,MAGNOLIA / QUEEN ANNE,7,1913,3,21234,21234,0,Multifamily Housing,84,39.200000763,38.400001526,832589,816271,73.400001526,71.199996948,Multifamily Housing,21234,,,,,109665,0,4421,Multifamily Housing,No Issue,Compliant,374178,442093,1.2,24.5
23453,2018,EDGECLIFF APTS,Multifamily LR (1-4),929 QUEEN ANNE AVE N,SEATTLE,WA,98109,47.62801,-122.35701,MAGNOLIA / QUEEN ANNE,7,1948,3,23120,23120,0,Multifamily Housing,81,50.299999237,48.200000763,1163391,1114079,68.900001526,66.599998474,Multifamily Housing,23120,,,,,62016,0,9025,Multifamily Housing,No Issue,Compliant,211600,902479,2.1,48.5
27528,2018,100 ROY ST APTS,Multifamily LR (1-4),100 ROY ST,SEATTLE,WA,98109,47.62573,-122.35496,MAGNOLIA / QUEEN ANNE,7,1948,3,53280,53280,0,Multifamily Housing,96,56.599998474,52.700000763,3017339,2806867,62.599998474,58.5,Multifamily Housing,53280,,,,,27981,0,27114,Multifamily Housing,No Issue,Compliant,95472,2711395,2.7,144.3
20749,2018,GALER CREST APTS & RETAIL,Multifamily LR (1-4),1428 QUEEN ANNE AVE N,SEATTLE,WA,98109,47.63205,-122.35633,MAGNOLIA / QUEEN ANNE,7,1930,3,37944,32738,5206,Multifamily Housing,,62.5,59.099998474,2372316,2243654,82.900001526,79.400001526,Multifamily Housing,37944,Parking,4200,,,109871,0,18688,Multifamily Housing,No Issue,Compliant,374878,1868775,3.1,100.3
20770,2018,CORNERSTONE OF QUEEN ANNE CONDOMINIUM,Multifamily LR (1-4),500 ALOHA ST,SEATTLE,WA,98109,47.62746,-122.34729,MAGNOLIA / QUEEN ANNE,7,1992,4,42093,42093,0,Multifamily Housing,39,35.400001526,35.400001526,1131756,1131756,99.199996948,99.199996948,Multifamily Housing,31956,,,,,331699,0,0,Multifamily Housing,No Issue,Compliant,1131756,0,0.1,3
21693,2018,ARKONA APARTMENTS,Multifamily LR (1-4),107 1ST AVE N,SEATTLE,WA,98109,47.61872,-122.35593,MAGNOLIA / QUEEN ANNE,7,1908,4,43712,43712,0,Multifamily Housing,85,48.599998474,47.200000763,2122804,2062223,73.400001526,72,Multifamily Housing,43712,,,,,164261,0,15018,Multifamily Housing,No Issue,Compliant,560460,1501763,1.9,81.3
21807,2018,1800 TAYLOR CONDOMINIUM,Multifamily LR (1-4),1800 TAYLOR AVE N,SEATTLE,WA,98109,47.63547,-122.3456,MAGNOLIA / QUEEN ANNE,7,1948,4,40326,40326,0,Multifamily Housing,61,68.199996948,64.5,2748287,2600920,88.800003052,85,Multifamily Housing,40326,,,,,116443,0,22036,Multifamily Housing,No Issue,Compliant,397302,2203618,2.9,118.1
23449,2018,900 QUEEN ANNE APARTMENTS,Multifamily LR (1-4),900 QUEEN ANNE AVE N,SEATTLE,WA,98109,47.62749,-122.35648,MAGNOLIA / QUEEN ANNE,7,1929,4,41137,35178,5959,Multifamily Housing,86,43,40.900001526,1790660,1702389,57.400001526,55,Multifamily Housing,41669,,,,,84455,0,14142,Multifamily Housing,No Issue,Compliant,288162,1414227,2.2,75.9
23465,2018,CHANDLER HALL APTS,Multifamily LR (1-4),119 ROY ST,SEATTLE,WA,98109,47.62526,-122.35471,MAGNOLIA / QUEEN ANNE,7,1924,4,51150,51150,0,Multifamily Housing,65,74.5,71,3600013,3431110,98.199996948,94.5,Multifamily Housing,48320,,,,,161642,0,28796,Multifamily Housing,No Issue,Compliant,551521,2879589,3,154.4
22113,2018,GALER GARDENS CONDOMINIUM,Multifamily LR (1-4),1417 QUEEN ANNE AVE N,SEATTLE,WA,98109,47.63203,-122.35702,MAGNOLIA / QUEEN ANNE,7,1996,4,46184,46184,0,Multifamily Housing,15,49.599998474,49.599998474,1765791,1765791,138.800003052,138.800003052,Multifamily Housing,30430,Parking,10565,Retail Store,5189,517524,0,0,Multifamily Housing,No Issue,Compliant,1765791,0,0.1,4.7
20731,2018,GREENWICH APTS,Multifamily LR (1-4),1305 QUEEN ANNE AVE N,SEATTLE,WA,98109,47.63087,-122.3566,MAGNOLIA / QUEEN ANNE,7,1928,3,35070,28284,6786,Multifamily Housing,60,68.800003052,68,2414435,2383551,86,85,Multifamily Housing,35070,Parking,6786,,,80382,0,21093,Multifamily Housing,No Issue,Compliant,274265,2109286,4,112.8
20732,2018,Carlyle,Multifamily LR (1-4),1306 1ST AVE W,SEATTLE,WA,98119,47.63066,-122.35764,MAGNOLIA / QUEEN ANNE,7,1928,3,21376,21376,0,Multifamily Housing,73,59,57.400001526,1260717,1227260,77.599998474,76,Multifamily Housing,21376,,,,,56285,0,10352,Multifamily Housing,No Issue,Compliant,192045,1035215,2.6,55.5
21712,2018,GREX APTS,Multifamily LR (1-4),503 1ST AVE W,SEATTLE,WA,98119,47.62344,-122.35842,MAGNOLIA / QUEEN ANNE,7,1930,3,22320,22320,0,Multifamily Housing,84,66.099998474,62.700000763,1474502,1399642,86.300003052,82.800003052,Multifamily Housing,22320,,,,,63261,0,11838,Multifamily Housing,No Issue,Compliant,215846,1183796,2.8,63.4
23216,2018,CHELAN APTS,Multifamily LR (1-4),616 4TH AVE W,SEATTLE,WA,98119,47.6252,-122.36176,MAGNOLIA / QUEEN ANNE,7,1930,3,20798,20798,0,Multifamily Housing,72,69.900001526,66.599998474,1454685,1385994,90.699996948,87.199996948,Multifamily Housing,20798,,,,,60047,0,11811,Multifamily Housing,No Issue,Compliant,204881,1181113,3,63.3
23567,2018,HAMRICK APTS,Multifamily LR (1-4),702 2ND AVE W,SEATTLE,WA,98119,47.62584,-122.35896,MAGNOLIA / QUEEN ANNE,7,1947,3,22604,22604,0,Multifamily Housing,56,63.700000763,60.5,1440980,1367930,82,78.599998474,Multifamily Housing,22604,,,,,56934,0,11737,Multifamily Housing,No Issue,Compliant,194261,1173669,2.8,62.9
23576,2018,OLYMPUS MANOR COOP APT,Multifamily LR (1-4),220 W OLYMPIC PL,SEATTLE,WA,98119,47.627,-122.36028,MAGNOLIA / QUEEN ANNE,7,1930,3,31552,28564,2988,Multifamily Housing,69,58.400001526,55,1843650,1735847,76.400001526,72.800003052,Multifamily Housing,31552,,,,,79571,0,14643,Multifamily Housing,No Issue,Compliant,271498,1464349,2.7,78.5
23577,2018,OLYMPIC ARMS & GRAYSON,Multifamily LR (1-4),209 W OLYMPIC PL,SEATTLE,WA,98119,47.62643,-122.35956,MAGNOLIA / QUEEN ANNE,7,1925,3,29533,29533,0,Multifamily Housing,96,46.400001526,44.900001526,1371235,1325302,65.599998474,63.900001526,Multifamily Housing,29533,,,,,83198,0,10414,Multifamily Housing,No Issue,Compliant,283872,1041430,1.9,56.1
23578,2018,VIKING APT,Multifamily LR (1-4),715 2ND AVE W,SEATTLE,WA,98119,47.6261,-122.35953,MAGNOLIA / QUEEN ANNE,7,1930,3,20688,20688,0,Multifamily Housing,22,80.699996948,78.400001526,1669160,1622891,104.099998474,101.800003052,Multifamily Housing,20688,,,,,67309,0,13932,Multifamily Housing,No Issue,Compliant,229658,1393233,3.6,74.6
26227,2018,ALEXANDER HAMILTON APARTMENTS,Multifamily LR (1-4),1127 OLYMPIC WAY W,SEATTLE,WA,98119,47.62948,-122.36881,MAGNOLIA / QUEEN ANNE,7,1930,3,25380,23585,1795,Multifamily Housing,76,52.200000763,48.900001526,1323822,1241008,65.400001526,62,Multifamily Housing,25380,,,,,45170,0,10869,Multifamily Housing,No Issue,Compliant,154119,1086889,2.5,58.1
20734,2018,HILLCREST MANOR,Multifamily LR (1-4),21 W LEE ST,SEATTLE,WA,98119,47.63106,-122.35764,MAGNOLIA / QUEEN ANNE,7,1928,3,28940,26678,2262,Multifamily Housing,,63.799999237,60.799999237,1847437,1760481,81,77.800003052,Multifamily Housing,28940,Parking,2262,,,67705,0,15295,Multifamily Housing,No Issue,Compliant,231011,1529470,3.1,81.8
22569,2018,WHARFSIDE POINTE,Multifamily LR (1-4),3814 14TH AVE W,SEATTLE,WA,98119,47.65487,-122.37462,MAGNOLIA / QUEEN ANNE,7,1990,4,115575,115575,0,Multifamily Housing,75,38.700000763,37.599998474,4470124,4349840,83.800003052,81.400001526,Multifamily Housing,115575,,,,,811037,0,15826,Multifamily Housing,No Issue,Compliant,2767260,1582580,0.8,91.4
23213,2018,MERCEDES APTS,Multifamily LR (1-4),617 3RD AVE W,SEATTLE,WA,98119,47.6254,-122.36112,MAGNOLIA / QUEEN ANNE,7,1930,4,39520,39520,0,Multifamily Housing,68,65.099998474,62.599998474,2574197,2475219,88.800003052,86.199996948,Multifamily Housing,39520,,,,,135254,0,20137,Multifamily Housing,No Issue,Compliant,461485,2013734,2.7,108.2
23432,2018,CARROLL TERRACE,Multifamily LR (1-4),600 5TH AVE W,SEATTLE,WA,98119,47.62484,-122.3629,MAGNOLIA / QUEEN ANNE,7,1985,4,22716,22716,0,Multifamily Housing,29,38.5,37.200000763,857735,829619,107.699996948,104.199996948,Multifamily Housing,22298,,,,,243148,0,0,Multifamily Housing,No Issue,Compliant,829619,0,0.1,2.2
23570,2018,DELAMAR APTS,Multifamily LR (1-4),115 W OLYMPIC PL,SEATTLE,WA,98119,47.62662,-122.35876,MAGNOLIA / QUEEN ANNE,7,1909,4,46296,46296,0,Multifamily Housing,36,66.099998474,62.700000763,3058475,2904626,82.300003052,78.800003052,Multifamily Housing,46296,,,,,100053,0,25632,Multifamily Housing,No Issue,Compliant,341380,2563245,3,137
25758,2018,WEST QUEEN ANNE ON 5TH CONDO,Multifamily LR (1-4),1401 5TH AVE W,SEATTLE,WA,98119,47.63182,-122.36384,MAGNOLIA / QUEEN ANNE,7,1920,4,57212,57212,0,Multifamily Housing,29,36.799999237,35.299999237,1740983,1672094,103,98.900001526,Multifamily Housing,47346,,,,,490063,0,0,Multifamily Housing,No Issue,Compliant,1672094,0,0.1,4.5
25245,2018,VICTORIA CONDOMINIUM,Multifamily LR (1-4),100 W HIGHLAND DR,SEATTLE,WA,98119,47.63007,-122.35854,MAGNOLIA / QUEEN ANNE,7,1921,4,104064,104064,0,Multifamily Housing,73,43.400001526,41.099998474,4530690,4298006,62.099998474,59.400001526,Multifamily Housing,104064,Other,400,,,282784,0,33331,Multifamily Housing,No Issue,Compliant,964857,3333149,1.7,179.6
21149,2018,THE WESLEY AT CREMONA,Multifamily LR (1-4),13 W CREMONA ST,SEATTLE,WA,98119,47.64936,-122.35836,MAGNOLIA / QUEEN ANNE,7,2004,4,22625,22625,0,Multifamily Housing,95,41.700000763,40.200000763,942726,909584,83.400001526,80.599998474,Multifamily Housing,22625,Parking,7875,,,145556,0,4129,Multifamily Housing,No Issue,Compliant,496636,412948,1,23.3
23212,2018,LA CHARME,Multifamily LR (1-4),637 3RD AVE W,SEATTLE,WA,98119,47.62572,-122.36081,MAGNOLIA / QUEEN ANNE,7,1930,4,36837,36837,0,Multifamily Housing,,38.299999237,37.5,1410572,1382658,66.900001526,65.099998474,Multifamily Housing,36837,Parking,0,,,158708,0,8411,Multifamily Housing,No Issue,Compliant,541511,841147,1.3,46.1
23220,2018,FRANCONIA APT,Multifamily LR (1-4),400 W MERCER ST,SEATTLE,WA,98119,47.62489,-122.36219,MAGNOLIA / QUEEN ANNE,7,1930,4,32693,27035,5658,Multifamily Housing,60,76.099998474,72.900001526,2058160,1970156,96.699996948,93.300003052,Multifamily Housing,27035,Parking,0,,,75934,0,17111,Multifamily Housing,No Issue,Compliant,259088,1711068,3.4,91.6
23440,2018,KINNEAR VISTA CONDOMINIUM,Multifamily LR (1-4),1001 2ND AVE W,SEATTLE,WA,98119,47.62796,-122.3597,MAGNOLIA / QUEEN ANNE,7,1975,4,24084,24084,0,Multifamily Housing,,56.200000763,53.799999237,1354713,1295702,104,100.099998474,Multifamily Housing,24084,Parking,4800,,,175905,0,6955,Multifamily Housing,No Issue,Compliant,600186,695516,1.6,38.5
